"ExpID","off1","off2","off3","off4","off5"
"Exp01",3,3,3,3,3
"Exp02",3,3,3,3,3
"Exp03",3,3,3,3,3
"Exp04",3,3,3,3,3
"Exp05",1,1,1,1,1
"Exp06",1,1,1,1,1
"Exp07",1,1,1,1,1
"Exp08",2,2,2,2,2
"Exp09",3,3,3,3,3
"Exp10",3,3,3,3,3
"Exp11",2,2,2,2,2
"Exp12",3,3,3,3,3
"Exp13",3,3,3,3,3
"Exp14",2,2,2,2,2
"Exp15",3,3,3,3,3
"Exp16",3,3,3,3,3
"Exp17",2,2,1,1,1
"Exp18",2,2,1,2,3
"Exp19",2,3,2,2,3
"Exp20",3,3,3,3,3
"Exp21",3,3,3,3,3
"Exp22",3,3,3,3,3
"Exp23",3,3,3,3,3
"Exp24",3,3,3,3,3
"Exp25",3,3,3,3,3
"Exp26",3,3,3,3,3
"Exp27",3,3,3,3,3
"Exp28",3,3,3,3,3
"Exp29",3,3,3,3,3
"Exp30",3,3,3,3,3
"Exp31",2,3,3,3,3
"Exp32",3,3,3,3,3
"Exp33",3,3,3,3,3
"Exp34",3,3,3,3,3
"Exp35",3,3,3,3,3
"Exp36",3,3,3,3,3
"Exp37",3,3,3,3,3
"Exp38",3,3,3,3,3
"Exp39",3,3,3,3,3
"Exp40",3,3,3,3,3
"Exp41",3,3,3,3,3
"Exp42",3,3,3,3,3
"Exp43",3,3,3,3,3
"Exp44",2,3,3,3,3
"Exp45",3,3,3,3,3
"Exp46",3,3,3,3,3
"Exp47",3,3,3,3,3
"Exp48",3,3,3,3,3
"Exp49",3,3,3,3,3
"Exp50",3,3,3,3,3
"Exp51",3,3,3,3,3
"Exp52",3,3,3,3,3
"Exp53",3,3,3,3,3
"Exp54",3,3,3,3,3
"Exp55",3,3,3,3,3
"Exp56",3,3,3,3,3
"Exp57",2,3,3,3,3
"Exp58",2,2,2,2,2
"Exp59",3,3,3,3,3
"Exp60",3,3,3,3,3
"Exp61",3,3,3,3,3
"Exp62",3,3,3,3,3
"Exp63",3,3,3,3,3
"Exp64",3,3,3,3,3
"Exp65",3,3,3,3,3
"Exp66",3,3,3,3,3
"Exp67",3,3,3,3,3
"Exp68",3,3,3,3,3
"Exp69",3,3,3,3,3
"Exp70",2,3,3,3,3
"Exp71",2,2,2,2,2
"Exp72",3,3,3,3,3
"Exp73",3,3,3,3,3
"Exp74",3,3,3,3,3
"Exp75",3,3,3,3,3
"Exp76",3,3,3,3,3
"Exp77",3,3,3,3,3
"Exp78",3,3,3,3,3
"Exp79",3,3,3,3,3
"Exp80",3,3,3,3,3
"Exp81",3,3,3,3,3
"Exp82",3,3,3,3,3
"Exp83",3,3,3,3,3
"Exp84",3,3,3,3,3
"Exp85",3,3,3,3,3
"Exp86",3,3,3,3,3
"Exp87",3,3,3,3,3
